,Diam,StartNode,EndNode,Length
0,4.04,28,324,617.9132378775168
1,4.2,38,315,360.0141218266041
2,5.3,259,257,703.8491620979044
3,5.81,129,284,261.8847320537809
4,6.32,117,279,234.80724465743162
5,3.15,157,260,449.2945934617053
6,5.08,130,291,289.9491906994274
7,6.82,346,344,270.8884038773988
8,4.41,154,384,338.1237691414545
9,4.99,72,233,354.8473927192941
10,6.98,324,318,153.0333167100726
11,5.64,223,212,666.499161445104
12,4.14,53,235,474.0143737577072
13,7.53,291,290,429.6461208167311
14,4.54,133,369,411.41190631635544
15,5.38,179,358,144.37938664593057
16,5.11,128,129,1303.6795822409579
17,9.77,284,280,175.90136056762145
19,4.14,35,355,387.737126745496
20,3.99,33,364,472.5437571201569
21,5.64,72,204,343.9555164413724
22,6.06,30,324,236.32266180204624
23,15.98,184,377,277.4586572630982
24,4.99,355,354,515.9965504990282
25,6.3,34,35,295.5786943345025
26,3.8,13,27,306.9186027974039
27,4.41,12,347,570.8027659278187
28,5.04,125,296,182.13997290977693
29,3.83,52,72,250.30217490509054
30,5.64,121,291,469.2002586004566
32,6.59,29,30,254.68722440482088
33,7.05,148,263,431.586584626881
34,8.82,346,342,264.15220460179535
35,5.06,9,357,768.1340980890229
36,6.79,30,321,266.54409864438236
37,6.95,137,345,338.54308384841397
38,5.4,142,365,929.7429989240043
39,4.72,43,308,517.1229602128485
40,3.87,21,333,227.85490261482545
41,6.3,365,198,202.9387927167111
42,4.72,85,220,179.9188799328358
43,5.2,134,374,403.28528904510256
44,7.69,79,248,94.9812213832852
45,6.05,153,365,452.42905594880585
46,4.39,108,267,180.19664416993584
47,13.72,377,376,142.9846458379663
48,7.06,347,346,280.4294944483451
49,7.25,357,356,115.73000428218378
50,6.7,162,217,257.27438024085643
51,5.84,96,372,263.56182365973456
52,6.64,107,271,171.43932068770485
53,6.79,131,185,179.5929377223008
54,4.43,80,236,348.9810353193859
55,3.8,70,225,314.91895319899777
56,5.38,95,299,223.88019505991696
57,6.02,110,282,214.56936667441846
58,9.49,168,309,271.5483605691997
59,7.53,132,370,280.1746686286778
60,6.06,8,34,228.47255867630446
61,6.75,354,353,169.68686596611994
62,5.81,7,357,692.9621107283473
63,8.29,308,307,482.2850061812364
64,7.25,106,107,556.7448119528694
65,7.13,136,341,319.0168586625749
66,6.43,151,292,323.51099875774884
67,5.73,91,241,198.8059986446085
68,8.62,108,270,290.42927608620926
69,4.14,63,305,240.41729733331306
70,5.04,58,301,458.9857432111886
71,5.92,116,272,515.0655471715324
72,5.08,49,313,342.2281278881463
73,5.84,36,314,770.3550975634985
74,7.37,0,131,257.3231879806275
75,4.99,107,108,120.08381481764741
76,7.05,45,328,824.6491806916258
77,7.52,159,261,220.52079594331326
78,5.81,40,323,466.48445005495284
79,6.43,144,379,471.2307204334279
80,5.64,48,49,296.68861847361654
81,5.06,87,221,470.9470946151199
82,10.11,290,289,115.23519516834449
83,8.28,131,132,728.6480361572291
84,5.92,42,45,662.8106995178798
85,4.43,61,304,402.47288753642397
86,8.91,150,265,111.84178358395658
87,5.64,143,144,393.1960924301952
88,6.56,3,95,167.6736130785934
89,5.46,144,378,223.2378373261841
90,6.43,45,308,258.45385320218236
91,4.59,49,302,299.9830413080119
92,5.08,34,354,390.3457874837157
93,9.3,345,344,89.06238261566128
94,8.82,124,295,76.00282695068336
95,9.18,292,290,303.6195293912696
96,4.2,155,300,72.23755196567544
97,6.8,299,298,76.56356705141688
98,13.82,376,375,219.87259546742968
99,8.33,265,264,341.44733467923857
100,6.84,147,267,226.07149246969993
101,6.0,31,360,905.0114185820678
102,8.46,132,133,53.911299026375985
103,3.86,23,347,99.02776181213251
104,7.53,161,218,357.1800368082424
105,7.57,314,202,160.3738103858076
106,20.99,374,367,286.5499051759428
107,9.3,1,151,136.36028091927824
108,3.87,26,348,142.21181873823267
109,5.2,54,233,248.26300541534653
110,18.24,375,374,112.29614627597186
111,5.92,95,96,127.13814201613411
112,8.71,149,265,273.7198427697446
113,9.44,344,343,93.73649486652957
114,7.35,139,143,32.90406314193614
115,8.29,177,361,409.7958020783444
116,8.83,298,293,465.8271999444412
117,7.14,140,142,169.35732605864519
118,13.52,341,340,132.58900655013298
119,10.5,152,187,259.816017321981
120,9.58,378,197,139.4684367466722
121,9.22,372,371,113.9470003744994
122,12.59,342,341,60.96661391844215
123,6.56,91,248,285.90725614996245
124,9.46,151,152,205.82248437082325
125,9.85,180,139,353.10887728306125
126,6.84,133,134,159.94295107362748
127,5.61,156,250,453.49810883746557
128,6.39,267,266,187.62420388965845
129,12.98,379,378,369.53428602123347
130,7.05,62,310,386.4600794047693
131,6.06,143,196,533.9010530193651
132,7.57,152,292,384.96163355573094
133,8.93,138,345,356.2668177542578
134,8.58,146,381,779.4957977833461
135,5.59,315,314,325.91456497340636
136,9.02,139,140,134.75312810729955
137,11.17,369,368,50.18118278225674
138,5.3,120,244,609.844921087695
139,6.95,141,382,168.94439028097958
140,7.67,163,216,273.2785624599042
141,9.9,146,380,273.7949302056108
142,7.13,192,148,106.91028726034912
143,8.07,37,315,394.39641533090406
144,8.74,135,136,135.11911046652926
145,10.71,370,369,453.7919507349152
146,10.18,343,342,41.537539768307425
147,5.06,93,366,136.11063621653238
148,6.96,142,316,887.9139392965817
149,6.31,90,91,170.78765652032217
