Node,x,y
0,398.0,4910.0
1,36.0,4524.0
2,504.0,5238.0
3,598.0,5140.0
4,978.0,5196.0
5,1292.0,5050.0
6,1346.0,5124.0
7,1002.0,4740.0
8,924.0,4510.0
9,694.0,4618.0
10,770.0,4324.0
11,942.0,4484.0
12,640.0,4594.0
13,1044.0,4278.0
14,1408.0,4536.0
15,1650.0,4772.0
16,1492.0,4490.0
17,1604.0,4438.0
18,766.0,4224.0
19,1620.0,5024.0
20,1268.0,5500.0
21,1276.0,5354.0
22,1588.0,5386.0
23,1434.0,5690.0
24,1638.0,5354.0
25,648.0,3995.0
26,722.0,3861.0
27,756.0,3889.0
28,960.0,3849.0
29,1172.0,3773.0
30,1332.0,3507.0
31,1376.0,3961.0
32,844.0,3967.0
33,964.0,3567.0
34,1224.0,3349.0
35,836.0,3251.0
36,784.0,3321.0
37,742.0,2856.0
38,994.0,3092.0
39,1162.0,3228.0
40,1124.0,2974.0
41,940.0,2378.0
42,1626.0,3160.0
43,1306.0,2346.0
44,1500.0,2988.0
45,1506.0,2328.0
46,1002.0,2140.0
47,910.0,2156.0
48,1456.0,1898.0
49,1606.0,2206.0
50,1466.0,1846.0
51,1446.0,1686.0
52,1304.0,1360.0
53,1556.0,1582.0
54,1642.0,2058.0
55,1488.0,2158.0
56,1700.0,1650.0
57,1736.0,1684.0
58,1382.0,1232.0
59,1174.0,1234.0
60,1416.0,926.0
61,1358.0,958.0
62,1134.0,1072.0
63,1674.0,1310.0
64,1576.0,342.0
65,1506.0,662.0
66,1678.0,640.0
67,1648.0,592.0
68,1232.0,240.0
69,1318.0,308.0
70,1298.0,218.0
71,1668.0,286.0
72,1694.0,286.0
73,1690.0,178.0
74,1712.0,300.0
75,1836.0,350.0
76,1838.0,182.0
77,1700.0,5408.0
78,2044.0,5938.0
79,1980.0,5994.0
80,2242.0,5926.0
81,2306.0,5708.0
82,2350.0,5384.0
83,2206.0,5240.0
84,2316.0,5298.0
85,1702.0,4980.0
86,1930.0,4744.0
87,1876.0,4552.0
88,1844.0,4610.0
89,2116.0,4474.0
90,2024.0,4550.0
91,2434.0,4886.0
92,2022.0,4344.0
93,2458.0,4864.0
94,2468.0,4804.0
95,2536.0,4788.0
96,2560.0,4606.0
97,2322.0,4304.0
98,2582.0,4444.0
99,2258.0,4170.0
100,1966.0,4026.0
101,1984.0,4038.0
102,2288.0,3794.0
103,2558.0,3456.0
104,1930.0,3842.0
105,1788.0,3814.0
106,2000.0,3492.0
107,2260.0,3234.0
108,2266.0,3212.0
109,1850.0,3444.0
110,1884.0,3418.0
111,1912.0,3380.0
112,2110.0,3174.0
113,2522.0,3052.0
114,2258.0,2842.0
115,2186.0,3120.0
116,2402.0,2894.0
117,2618.0,3062.0
118,2006.0,2638.0
119,2472.0,2346.0
120,1902.0,2308.0
121,1888.0,2282.0
122,1934.0,2256.0
123,1984.0,1932.0
124,1998.0,1872.0
125,2086.0,1704.0
126,1852.0,1708.0
127,1968.0,1606.0
128,2052.0,1574.0
129,2088.0,1634.0
130,2138.0,1464.0
131,2282.0,1574.0
132,1764.0,1464.0
133,1938.0,960.0
134,1830.0,964.0
135,2144.0,1232.0
136,1798.0,972.0
137,1768.0,668.0
138,1826.0,580.0
139,2044.0,992.0
140,2372.0,1062.0
141,1986.0,430.0
142,2044.0,354.0
143,2324.0,342.0
144,2316.0,968.0
145,2432.0,786.0
146,2450.0,422.0
147,1958.0,166.0
148,2130.0,214.0
149,2438.0,138.0
150,2590.0,119.0
151,2136.0,130.0
152,2688.0,5512.0
153,2512.0,5462.0
154,2518.0,5398.0
155,2626.0,5462.0
156,2918.0,5276.0
157,2918.0,5234.0
158,3162.0,5434.0
159,3196.0,5430.0
160,3206.0,5512.0
161,3090.0,5690.0
162,3506.0,5760.0
163,3288.0,5214.0
164,2748.0,4976.0
165,2640.0,4746.0
166,2694.0,4176.0
167,2726.0,4200.0
168,3062.0,4648.0
169,3136.0,4624.0
170,3322.0,5058.0
171,3228.0,4380.0
172,2704.0,3822.0
173,3024.0,3424.0
174,2980.0,3346.0
175,3342.0,3260.0
176,2608.0,3426.0
177,2972.0,2782.0
178,2780.0,2726.0
179,3034.0,2634.0
180,3034.0,2448.0
